Interval=	0.0025 s
ExcelDateTime=	4.4620597823331671e+004	2/28/2022 14:20:51.935856
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	1000.0 µV
0	-1.7
0.0025	-8.3
0.005	-11.0
0.0075	-13.8
0.01	-16.6
0.0125	-7.9
0.015	2.6
0.0175	5.6
0.02	4.6
0.0225	1.6
0.025	-2.4
0.0275	-4.9
0.03	-3.1
0.0325	0.4
0.035	1.0
0.0375	-4.3
0.04	-12.0
0.0425	-14.3
0.045	-10.3
0.0475	-6.0
0.05	-1.5
0.0525	0.2
0.055	-1.2
0.0575	1.0
0.06	1.1
0.0625	-7.2
0.065	-9.6
0.0675	6.3
0.07	16.8
0.0725	9.9
0.075	9.3
0.0775	9.3
0.08	2.9
0.0825	3.5
0.085	15.8
0.0875	20.4
0.09	4.4
0.0925	-4.7
0.095	-6.8
0.0975	-8.6
0.1	-9.1
0.1025	-14.3
0.105	-8.3
0.1075	7.9
0.11	9.3
0.1125	2.9
0.115	6.6
0.1175	9.2
0.12	6.3
0.1225	3.5
0.125	4.4
0.1275	2.3
0.13	-6.4
0.1325	-3.3
0.135	13.6
0.1375	19.7
0.14	5.3
0.1425	-9.9
0.145	-12.5
0.1475	-5.4
0.15	2.8
0.1525	11.8
0.155	23.0
0.1575	22.6
0.16	8.1
0.1625	-3.8
0.165	-2.2
0.1675	7.1
0.17	16.7
0.1725	21.8
0.175	18.8
0.1775	16.3
0.18	13.8
0.1825	9.3
0.185	11.8
0.1875	12.3
0.19	6.2
0.1925	-1.6
0.195	-5.8
0.1975	1.7
0.2	12.6
0.2025	18.4
0.205	20.5
0.2075	23.1
0.21	26.0
0.2125	25.9
0.215	27.0
0.2175	29.0
0.22	26.7
0.2225	22.5
0.225	24.0
0.2275	30.6
0.23	34.8
0.2325	31.0
0.235	31.4
0.2375	39.4
0.24	39.6
0.2425	32.0
0.245	26.6
0.2475	25.7
0.25	23.8
0.2525	18.5
0.255	17.2
0.2575	21.2
0.26	22.5
0.2625	18.0
0.265	11.5
0.2675	9.5
0.27	16.2
0.2725	25.7
0.275	23.2
0.2775	5.3
0.28	-5.7
0.2825	-4.5
0.285	-6.7
0.2875	-5.9
0.29	2.9
0.2925	7.4
0.295	3.0
0.2975	-3.4
0.3	-3.0
0.3025	2.5
0.305	4.7
0.3075	4.8
0.31	4.9
0.3125	-0.3
0.315	-7.7
0.3175	-8.3
0.32	-2.1
0.3225	1.0
0.325	-3.1
0.3275	-8.3
0.33	-9.5
0.3325	-3.6
0.335	3.2
0.3375	8.3
0.34	9.8
0.3425	6.1
0.345	5.2
0.3475	2.7
0.35	-0.3
0.3525	3.9
0.355	10.6
0.3575	10.0
0.36	3.7
0.3625	0.2
0.365	-0.4
0.3675	-0.6
0.37	-2.0
0.3725	-1.9
0.375	-0.1
0.3775	-2.0
0.38	-3.8
0.3825	-2.3
0.385	0.5
0.3875	4.1
0.39	3.8
0.3925	-0.8
0.395	-4.1
0.3975	-4.8
0.4	-5.2
0.4025	-7.5
0.405	-6.5
0.4075	1.3
0.41	2.0
0.4125	-3.0
0.415	-3.2
0.4175	3.0
0.42	11.7
0.4225	13.8
0.425	8.8
0.4275	1.2
0.43	-6.3
0.4325	-13.5
0.435	-14.4
0.4375	-6.7
0.44	-2.3
0.4425	-1.4
0.445	4.0
0.4475	11.2
0.45	9.0
0.4525	1.0
0.455	0.3
0.4575	0.5
0.46	-0.8
0.4625	-0.7
0.465	1.3
0.4675	11.2
0.47	20.9
0.4725	11.7
0.475	0.2
0.4775	2.5
0.48	4.7
0.4825	7.3
0.485	10.9
0.4875	11.8
0.49	14.2
0.4925	15.3
0.495	13.6
0.4975	5.3
0.5	-5.8
0.5025	-0.1
0.505	11.5
0.5075	12.0
0.51	8.4
0.5125	9.8
0.515	15.4
0.5175	15.3
0.52	16.3
0.5225	18.8
0.525	14.6
0.5275	8.3
0.53	4.0
0.5325	2.1
0.535	4.4
0.5375	10.3
0.54	15.6
0.5425	11.0
0.545	3.9
0.5475	0.2
0.55	-4.7
0.5525	-2.9
0.555	0.5
0.5575	-0.1
0.56	-1.1
0.5625	-0.5
0.565	-3.8
0.5675	-6.3
0.57	1.3
0.5725	4.3
0.575	1.4
0.5775	0.8
0.58	-1.8
0.5825	-3.9
0.585	-5.7
0.5875	-4.6
0.59	-0.8
0.5925	-1.9
0.595	-2.8
0.5975	-1.3
0.6	-1.7
0.6025	-0.7
0.605	-0.2
0.6075	-0.4
0.61	1.8
0.6125	0.4
0.615	-0.1
0.6175	1.7
0.62	3.0
0.6225	1.3
0.625	-0.6
0.6275	0.9
0.63	-0.3
0.6325	-3.6
0.635	-3.8
0.6375	-0.7
0.64	4.9
0.6425	8.4
0.645	-6.1
0.6475	-23.7
0.65	-20.7
0.6525	-10.8
0.655	-1.8
0.6575	6.6
0.66	3.4
0.6625	-10.0
0.665	-17.7
0.6675	-13.7
0.67	-5.1
0.6725	-1.1
0.675	-0.3
0.6775	2.2
0.68	6.4
0.6825	8.2
0.685	8.7
0.6875	9.6
0.69	9.7
0.6925	13.1
0.695	13.8
0.6975	13.8
0.7	16.7
0.7025	17.8
0.705	16.9
0.7075	15.0
0.71	10.6
0.7125	2.4
0.715	1.3
0.7175	5.3
0.72	2.5
0.7225	-5.3
0.725	-9.1
0.7275	-9.4
0.73	-11.7
0.7325	-8.1
0.735	0.2
0.7375	-2.1
0.74	-11.9
0.7425	-12.3
0.745	-3.7
0.7475	2.6
0.75	1.4
0.7525	-0.8
0.755	3.1
0.7575	6.4
0.76	7.6
0.7625	7.7
0.765	0.6
0.7675	-0.8
0.77	12.8
0.7725	17.8
0.775	3.7
0.7775	-13.8
0.78	-17.0
0.7825	-11.2
0.785	-7.9
0.7875	-2.5
0.79	2.1
0.7925	3.3
0.795	4.8
0.7975	8.0
0.8	11.7
0.8025	9.6
0.805	4.3
0.8075	2.2
0.81	2.3
0.8125	-0.8
0.815	-3.1
0.8175	-5.7
0.82	-7.9
0.8225	-0.9
0.825	4.6
0.8275	2.0
0.83	1.1
0.8325	1.2
0.835	1.5
0.8375	5.0
0.84	6.2
0.8425	3.1
0.845	-0.1
0.8475	1.6
0.85	6.8
0.8525	9.4
0.855	7.6
0.8575	3.9
0.86	-1.8
0.8625	-6.0
0.865	-6.2
0.8675	-4.0
0.87	6.1
0.8725	13.4
0.875	4.9
0.8775	-9.5
0.88	-15.8
0.8825	-13.1
0.885	-6.3
0.8875	-0.4
0.89	5.6
0.8925	13.7
0.895	12.3
0.8975	4.8
0.9	-1.2
0.9025	-10.5
0.905	-7.8
0.9075	2.5
0.91	6.2
0.9125	11.8
0.915	8.2
0.9175	0.4
