Interval=	0.0025 s
ExcelDateTime=	4.4621650142538019e+004	3/1/2022 15:36:12.315285
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
0	6.9	#1 eyes_open #1 eyes_closed 
0.0025	22.7
0.005	-21.6
0.0075	-82.7
0.01	-65.0
0.0125	14.8
0.015	92.1
0.0175	106.8
0.02	43.4
0.0225	-46.4
0.025	-86.4
0.0275	-40.1
0.03	55.3
0.0325	121.2
0.035	107.4
0.0375	25.3
0.04	-57.0
0.0425	-67.8
0.045	-3.3
0.0475	81.6
0.05	117.0
0.0525	71.8
0.055	-18.0
0.0575	-81.1
0.06	-66.2
0.0625	11.8
0.065	85.4
0.0675	92.1
0.07	24.7
0.0725	-60.3
0.075	-95.3
0.0775	-56.7
0.08	23.3
0.0825	78.5
0.085	62.1
0.0875	-17.5
0.09	-93.4
0.0925	-100.2
0.095	-35.2
0.0975	48.3
0.1	85.7
0.1025	49.9
0.105	-30.7
0.1075	-89.1
0.11	-72.9
0.1125	9.6
0.115	87.0
0.1175	94.2
0.12	31.1
0.1225	-51.8
0.125	-86.7
0.1275	-46.2
0.13	34.7
0.1325	92.0
0.135	77.8
0.1375	4.5
0.14	-63.6
0.1425	-72.3
0.145	-15.1
0.1475	62.6
0.15	97.1
0.1525	56.2
0.155	-30.2
0.1575	-87.7
0.16	-75.1
0.1625	-2.9
0.165	71.3
0.1675	79.0
0.17	18.8
0.1725	-58.1
0.175	-91.8
0.1775	-53.9
0.18	23.2
0.1825	76.6
0.185	63.9
0.1875	-7.4
0.19	-76.5
0.1925	-83.7
0.195	-21.3
0.1975	60.4
0.2	93.8
0.2025	56.0
0.205	-20.5
0.2075	-72.7
0.21	-54.0
0.2125	21.0
0.215	89.7
0.2175	96.8
0.22	38.9
0.2225	-35.4
0.225	-64.6
0.2275	-23.9
0.23	56.3
0.2325	107.1
0.235	87.8
0.2375	18.8
0.24	-48.9
0.2425	-61.4
0.245	-8.4
0.2475	63.3
0.25	93.9
0.2525	55.8
0.255	-21.3
0.2575	-74.4
0.26	-65.1
0.2625	1.1
0.265	67.6
0.2675	71.5
0.27	13.4
0.2725	-58.3
0.275	-89.0
0.2775	-56.1
0.28	12.7
0.2825	60.5
0.285	48.5
0.2875	-14.5
0.29	-73.8
0.2925	-78.5
0.295	-26.5
0.2975	42.8
0.3	77.9
0.3025	50.4
0.305	-16.3
0.3075	-61.8
0.31	-47.4
0.3125	17.2
0.315	77.2
0.3175	85.6
0.32	39.0
0.3225	-26.5
0.325	-56.9
0.3275	-25.8
0.33	41.4
0.3325	87.1
0.335	74.8
0.3375	14.4
0.34	-45.0
0.3425	-54.6
0.345	-4.2
0.3475	63.7
0.35	90.0
0.3525	55.9
0.355	-12.4
0.3575	-60.4
0.36	-49.7
0.3625	8.8
0.365	65.8
0.3675	73.1
0.37	21.6
0.3725	-46.3
0.375	-71.5
0.3775	-35.3
0.38	35.1
0.3825	79.7
0.385	59.8
0.3875	-2.1
0.39	-59.0
0.3925	-66.2
0.395	-17.2
0.3975	45.8
0.4	73.6
0.4025	43.2
0.405	-20.8
0.4075	-62.3
0.41	-45.7
0.4125	15.1
0.415	70.9
0.4175	79.3
0.42	36.8
0.4225	-20.5
0.425	-44.1
0.4275	-12.2
0.43	50.4
0.4325	91.8
0.435	74.3
0.4375	13.1
0.44	-40.9
0.4425	-47.4
0.445	-0.7
0.4475	57.0
0.45	78.6
0.4525	48.5
0.455	-11.4
0.4575	-51.8
0.46	-40.4
0.4625	11.8
0.465	61.2
0.4675	67.2
0.47	20.6
0.4725	-42.2
0.475	-68.9
0.4775	-38.5
0.48	22.1
0.4825	60.7
0.485	47.2
0.4875	-4.6
0.49	-49.1
0.4925	-51.0
0.495	-7.0
0.4975	50.8
0.5	74.6
0.5025	45.6
0.505	-10.3
0.5075	-44.6
0.51	-28.3
0.5125	26.6
0.515	76.8
0.5175	81.9
0.52	38.8
0.5225	-15.0
0.525	-36.7
0.5275	-10.2
0.53	44.1
0.5325	78.5
0.535	65.7
0.5375	18.2
0.54	-27.3
0.5425	-33.3
0.545	6.5
0.5475	58.1
0.55	75.1
0.5525	44.7
0.555	-9.8
0.5575	-47.5
0.56	-35.9
0.5625	13.8
0.565	56.9
0.5675	58.2
0.57	16.2
0.5725	-35.0
0.575	-54.3
0.5775	-25.6
0.58	28.0
0.5825	63.7
0.585	54.1
0.5875	5.1
0.59	-40.3
0.5925	-42.6
0.595	-1.3
0.5975	52.0
0.6	74.3
0.6025	45.5
0.605	-7.6
0.6075	-41.2
0.61	-32.6
0.6125	12.3
0.615	57.6
0.6175	61.6
0.62	20.8
0.6225	-30.2
0.625	-49.5
0.6275	-20.2
0.63	36.1
0.6325	71.6
0.635	58.3
0.6375	10.2
0.64	-33.5
0.6425	-38.3
0.645	-0.5
0.6475	47.7
0.65	62.4
0.6525	34.5
0.655	-10.9
0.6575	-43.9
0.66	-33.7
0.6625	15.6
0.665	56.9
0.6675	56.2
0.67	15.1
0.6725	-33.2
0.675	-50.5
0.6775	-25.8
0.68	23.6
0.6825	57.0
0.685	45.9
0.6875	2.0
0.69	-38.4
0.6925	-39.6
0.695	1.1
0.6975	52.8
0.7	73.0
0.7025	46.7
0.705	-2.2
0.7075	-31.8
0.71	-17.4
0.7125	27.3
0.715	67.4
0.7175	72.0
0.72	37.8
0.7225	-8.8
0.725	-25.1
0.7275	2.2
0.73	48.6
0.7325	78.9
0.735	67.4
0.7375	22.3
0.74	-20.9
0.7425	-27.6
0.745	7.2
0.7475	55.5
0.75	74.0
0.7525	46.9
0.755	0.8
0.7575	-28.7
0.76	-17.6
0.7625	23.3
0.765	60.4
0.7675	65.7
0.77	31.1
0.7725	-13.0
0.775	-29.4
0.7775	-6.6
0.78	37.2
0.7825	63.1
0.785	49.9
0.7875	8.7
0.79	-28.4
0.7925	-29.6
0.795	5.9
0.7975	49.8
0.8	67.1
0.8025	44.0
0.805	-0.0
0.8075	-29.5
0.81	-22.3
0.8125	17.4
0.815	56.1
0.8175	57.5
0.82	24.9
0.8225	-14.4
0.825	-29.3
0.8275	-6.5
0.83	34.8
0.8325	62.0
0.835	51.5
0.8375	9.9
0.84	-28.1
0.8425	-31.3
0.845	-0.1
0.8475	40.1
0.85	55.9
0.8525	31.5
0.855	-12.4
0.8575	-39.6
0.86	-26.0
0.8625	16.3
0.865	50.0
0.8675	51.0
0.87	19.0
0.8725	-19.1
0.875	-31.4
0.8775	-8.5
0.88	34.7
0.8825	64.4
0.885	55.3
0.8875	15.8
0.89	-19.2
0.8925	-21.3
0.895	7.5
0.8975	42.2
0.9	58.2
0.9025	39.3
0.905	-4.5
0.9075	-30.5
0.91	-15.7
0.9125	24.3
0.915	57.1
0.9175	53.3
0.92	18.6
0.9225	-18.7
0.925	-33.8
0.9275	-12.8
0.93	28.0
0.9325	53.6
0.935	44.2
0.9375	5.3
0.94	-31.3
0.9425	-32.8
0.945	1.4
0.9475	42.2
0.95	60.1
0.9525	44.4
0.955	9.5
0.9575	-11.4
0.96	-1.0
0.9625	28.1
0.965	52.3
0.9675	52.2
0.97	27.1
0.9725	-4.4
0.975	-14.7
0.9775	4.8
0.98	38.8
0.9825	63.6
0.985	60.1
0.9875	30.9
0.99	-1.2
0.9925	-8.8
0.995	14.6
0.9975	47.7
1	59.5
1.0025	38.3
1.005	1.5
1.0075	-24.6
1.01	-17.8
1.0125	17.1
1.015	48.3
1.0175	49.2
1.02	20.3
1.0225	-15.8
1.025	-32.4
1.0275	-14.7
1.03	22.8
1.0325	45.8
1.035	38.3
1.0375	5.5
1.04	-27.3
1.0425	-30.9
1.045	-3.2
1.0475	32.6
1.05	45.7
1.0525	27.7
1.055	-6.2
1.0575	-29.5
1.06	-20.6
1.0625	13.7
1.065	45.1
1.0675	49.4
1.07	23.4
1.0725	-10.7
1.075	-23.1
1.0775	-3.5
1.08	30.5
1.0825	53.1
1.085	48.0
1.0875	16.7
1.09	-13.3
1.0925	-14.4
1.095	12.6
1.0975	43.8
1.1	54.6
1.1025	35.5
1.105	0.7
1.1075	-18.5
1.11	-8.4
1.1125	22.3
1.115	52.0
1.1175	56.3
1.12	33.0
1.1225	1.3
1.125	-13.4
1.1275	3.6
1.13	36.0
1.1325	54.4
1.135	43.8
1.1375	14.4
1.14	-11.1
1.1425	-13.1
1.145	14.4
1.1475	45.4
1.15	52.3
1.1525	37.0
1.155	12.3
1.1575	-6.5
1.16	0.7
1.1625	32.7
1.165	60.3
1.1675	63.2
1.17	42.4
1.1725	12.7
1.175	-0.3
1.1775	15.1
1.18	46.9
1.1825	69.1
1.185	63.1
1.1875	36.0
1.19	8.8
1.1925	4.6
1.195	29.2
1.1975	59.8
1.2	70.4
1.2025	52.7
1.205	21.4
1.2075	-0.0
1.21	5.2
1.2125	32.0
1.215	54.1
1.2175	52.8
1.22	26.5
1.2225	-5.3
1.225	-15.8
1.2275	-0.2
1.23	29.0
1.2325	49.6
1.235	40.8
1.2375	11.6
1.24	-11.7
1.2425	-11.4
1.245	11.8
1.2475	40.4
1.25	52.7
1.2525	39.4
1.255	12.1
1.2575	-6.3
1.26	-0.6
1.2625	24.4
1.265	48.8
1.2675	52.7
