Channel 1	Channel 1
Max Power	Max Power Frequency
V≤	Hz
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
4.938E-13	7.8125
3.113E-13	8.59375
5.264E-13	10.15625
6.012E-13	11.328125
7.282E-13	8.984375
6.477E-13	10.15625
6.900E-13	9.765625
5.053E-13	9.765625
9.674E-13	11.71875
6.051E-13	8.59375
 	 
 	 
2.733E-12	10.15625
3.376E-12	10.15625
8.131E-12	10.15625
2.669E-12	11.328125
4.927E-12	10.9375
4.322E-12	10.15625
6.056E-12	10.546875
4.296E-12	9.765625
3.501E-12	9.765625
9.290E-13	11.328125
