Frequency(Hz)	Channel 1(V²)	
0	1.90962e-012	
0.976563	2.26671e-011	
1.95313	6.20581e-012	
2.92969	7.90419e-012	
3.90625	6.53682e-012	
4.88281	1.8258e-013	
5.85938	4.38274e-012	
6.83594	7.10043e-012	
7.8125	1.4796e-011	
8.78906	2.0871e-011	
9.76563	9.19438e-012	
10.7422	8.7304e-012	
11.7188	1.11955e-011	
12.6953	7.51251e-012	
13.6719	2.03925e-012	
14.6484	1.79164e-012	
15.625	8.50005e-013	
16.6016	1.37845e-012	
17.5781	2.83685e-012	
18.5547	6.32516e-013	
19.5313	1.25845e-012	
20.5078	3.27403e-012	
21.4844	2.811e-012	
22.4609	1.45793e-012	
23.4375	5.72018e-013	
24.4141	5.28688e-013	
25.3906	7.52528e-013	
26.3672	1.31685e-012	
27.3438	5.60002e-013	
28.3203	6.8709e-013	
29.2969	1.54333e-013	
30.2734	3.22259e-014	
31.25	7.90321e-014	
32.2266	4.89628e-014	
33.2031	1.11116e-013	
34.1797	2.83984e-013	
35.1563	1.81932e-013	
36.1328	4.85419e-014	
37.1094	6.79482e-014	
38.0859	1.14462e-014	
39.0625	6.65059e-014	
40.0391	4.16667e-014	
41.0156	6.20723e-014	
41.9922	1.30905e-013	
42.9688	1.40414e-014	
43.9453	6.53865e-014	
44.9219	9.452e-015	
45.8984	2.93926e-014	
46.875	3.33607e-015	
47.8516	1.1799e-013	
48.8281	1.41604e-013	
49.8047	7.12159e-014	
50.7813	1.57467e-014	
51.7578	2.25703e-014	
52.7344	8.49316e-014	
53.7109	6.35472e-014	
54.6875	4.38735e-014	
55.6641	1.56346e-013	
56.6406	3.00267e-014	
57.6172	5.00539e-014	
58.5938	9.89801e-014	
59.5703	3.77588e-014	
60.5469	4.64208e-014	
61.5234	1.02827e-013	
62.5	1.99302e-013	
63.4766	9.41923e-014	
64.4531	3.72588e-014	
65.4297	8.72869e-014	
66.4063	7.06788e-014	
67.3828	1.14313e-013	
68.3594	6.07753e-014	
69.3359	3.67177e-014	
70.3125	6.95783e-014	
71.2891	5.67832e-014	
72.2656	4.55866e-014	
73.2422	6.34874e-014	
74.2188	1.80542e-014	
75.1953	7.65794e-015	
76.1719	6.10604e-015	
77.1484	3.11728e-014	
78.125	6.24323e-015	
79.1016	3.90452e-015	
80.0781	8.85452e-016	
81.0547	1.31721e-014	
82.0313	1.82228e-014	
83.0078	4.06112e-015	
83.9844	1.54141e-014	
84.9609	2.768e-014	
85.9375	2.95086e-014	
86.9141	6.2973e-015	
87.8906	6.50987e-015	
88.8672	2.81104e-015	
89.8438	3.72933e-014	
90.8203	1.69084e-015	
91.7969	2.1523e-014	
92.7734	8.65987e-015	
93.75	6.7521e-014	
94.7266	2.96156e-014	
95.7031	1.04501e-015	
96.6797	1.65578e-015	
97.6563	1.61679e-014	
98.6328	8.95361e-014	
99.6094	6.801e-014	
100.586	8.53967e-015	
101.563	3.41182e-014	
102.539	1.09884e-014	
103.516	1.01721e-014	
104.492	1.35206e-014	
105.469	6.9949e-015	
106.445	2.54862e-015	
107.422	3.7319e-014	
108.398	5.05288e-014	
109.375	4.31275e-014	
110.352	7.83369e-015	
111.328	1.03667e-015	
112.305	2.48313e-015	
113.281	5.17681e-015	
114.258	1.69024e-014	
115.234	6.6838e-015	
116.211	5.51465e-016	
117.188	3.85172e-016	
118.164	2.3341e-015	
119.141	7.22694e-015	
120.117	5.19311e-015	
121.094	5.19664e-015	
122.07	2.52999e-015	
123.047	1.6682e-016	
124.023	1.21368e-014	
125	1.50388e-014	
125.977	1.344e-014	
126.953	1.29592e-014	
127.93	8.61388e-015	
128.906	2.39261e-015	
129.883	1.9687e-016	
130.859	1.95832e-015	
131.836	9.9113e-015	
132.813	5.25517e-015	
133.789	7.14548e-015	
134.766	1.26911e-015	
135.742	6.84649e-016	
136.719	6.54144e-016	
137.695	2.11916e-015	
138.672	2.80826e-015	
139.648	9.76924e-015	
140.625	7.08674e-015	
141.602	2.64103e-015	
142.578	1.9342e-015	
143.555	4.01586e-015	
144.531	1.00284e-014	
145.508	3.00383e-015	
146.484	7.4068e-016	
147.461	5.46728e-016	
148.438	1.97091e-015	
149.414	2.36684e-015	
150.391	8.67151e-016	
151.367	1.31825e-014	
152.344	1.38538e-014	
153.32	9.46158e-016	
154.297	4.14052e-015	
155.273	4.17456e-015	
156.25	7.42249e-015	
157.227	4.32288e-015	
158.203	4.85257e-017	
159.18	2.2119e-015	
160.156	1.97778e-016	
161.133	1.46184e-015	
162.109	1.21441e-015	
163.086	5.85372e-016	
164.063	3.37102e-015	
165.039	3.99773e-015	
166.016	2.80796e-016	
166.992	1.48807e-015	
167.969	1.88766e-015	
168.945	7.66114e-016	
169.922	9.24606e-016	
170.898	7.46118e-015	
171.875	8.47705e-015	
172.852	1.28867e-015	
173.828	2.45852e-015	
174.805	1.82045e-015	
175.781	1.20046e-015	
176.758	2.80721e-015	
177.734	1.67858e-015	
178.711	5.02795e-016	
179.688	2.08172e-016	
180.664	2.63486e-016	
181.641	1.73315e-015	
182.617	1.42934e-015	
183.594	9.8512e-016	
184.57	3.33531e-015	
185.547	4.9744e-015	
186.523	2.42671e-015	
187.5	2.51245e-016	
188.477	3.1424e-015	
189.453	9.84838e-016	
190.43	1.15741e-016	
191.406	1.06383e-015	
192.383	1.81625e-015	
193.359	3.89909e-016	
194.336	6.43249e-016	
195.313	1.40291e-015	
196.289	2.5033e-016	
197.266	1.20078e-016	
198.242	5.42512e-016	
199.219	4.99866e-016	
200.195	1.13935e-016	
201.172	1.18003e-016	
202.148	1.6683e-016	
203.125	2.21325e-016	
204.102	4.48134e-016	
205.078	1.00931e-016	
206.055	7.1069e-018	
207.031	2.99178e-018	
208.008	4.35636e-018	
208.984	1.608e-016	
209.961	5.20118e-016	
210.938	2.18637e-016	
211.914	2.02348e-016	
212.891	3.02466e-016	
213.867	3.46749e-016	
214.844	7.84146e-016	
215.82	6.31426e-016	
216.797	3.2913e-017	
217.773	2.29241e-016	
218.75	2.93394e-016	
219.727	1.51824e-016	
220.703	1.62195e-016	
221.68	4.47978e-016	
222.656	5.509e-016	
223.633	3.1134e-016	
224.609	6.73134e-017	
225.586	3.97995e-017	
226.563	2.74275e-017	
227.539	8.75222e-017	
228.516	1.94136e-018	
229.492	3.67518e-017	
230.469	9.88276e-017	
231.445	6.49385e-017	
232.422	6.8056e-017	
233.398	1.20283e-016	
234.375	7.89808e-017	
235.352	4.64203e-018	
236.328	2.65235e-017	
237.305	1.64646e-016	
238.281	2.46543e-016	
239.258	1.1662e-016	
240.234	3.49504e-017	
241.211	2.13368e-017	
242.188	6.62627e-017	
243.164	5.29463e-017	
244.141	4.58098e-017	
245.117	1.0162e-016	
246.094	3.52354e-017	
247.07	1.13603e-016	
248.047	8.98657e-017	
249.023	8.07097e-018	
250	3.11987e-017	
250.977	4.87392e-017	
251.953	8.94251e-018	
252.93	5.63168e-017	
253.906	8.79598e-017	
254.883	2.49671e-017	
255.859	6.40467e-019	
256.836	7.27343e-019	
257.813	4.16713e-018	
258.789	1.72721e-017	
259.766	1.23285e-017	
260.742	1.31606e-018	
261.719	1.68406e-017	
262.695	1.99319e-017	
263.672	6.01136e-020	
264.648	3.11725e-017	
265.625	2.66563e-017	
266.602	1.26834e-017	
267.578	1.27754e-017	
268.555	3.44008e-017	
269.531	3.73793e-017	
270.508	4.30579e-018	
271.484	4.7627e-018	
272.461	9.94487e-018	
273.438	4.71351e-018	
274.414	1.82134e-018	
275.391	8.6099e-018	
276.367	1.14917e-017	
277.344	9.45772e-018	
278.32	1.06495e-017	
279.297	5.73743e-018	
280.273	5.96054e-018	
281.25	3.53156e-018	
282.227	2.20135e-018	
283.203	7.74939e-018	
284.18	2.58389e-018	
285.156	8.07224e-019	
286.133	1.34976e-018	
287.109	1.16626e-018	
288.086	4.43809e-019	
289.063	1.98802e-018	
290.039	2.14248e-018	
291.016	1.23616e-019	
291.992	7.8555e-019	
292.969	4.28793e-019	
293.945	6.80041e-019	
294.922	1.46747e-019	
295.898	8.53768e-020	
296.875	1.51638e-019	
297.852	3.42329e-019	
298.828	1.25231e-019	
299.805	7.95123e-020	
300.781	1.06461e-019	
301.758	8.11163e-020	
302.734	5.39831e-019	
303.711	8.29952e-019	
304.688	3.6057e-019	
305.664	1.28779e-019	
306.641	1.35643e-021	
307.617	1.82937e-019	
308.594	1.61307e-019	
309.57	1.70608e-019	
310.547	2.01535e-019	
311.523	1.0962e-019	
312.5	1.46339e-020	
313.477	3.16029e-021	
314.453	7.18312e-021	
315.43	4.83651e-020	
316.406	5.78152e-020	
317.383	1.27943e-020	
318.359	1.35843e-020	
319.336	2.61893e-020	
320.313	1.14213e-019	
321.289	1.62713e-019	
322.266	7.29665e-020	
323.242	2.79558e-020	
